day,LAD22CD,distance,duration_minutes,user_count
2021-10-11,E09000027,6357.57056740328,32.836521252796416,298
2021-10-11,E09000028,5747.008580143788,34.16346801346801,297
2021-10-11,E09000029,6227.461632576876,29.812788963460108,447
2021-10-11,E09000030,6572.616518890239,34.71957928802589,206
2021-10-11,E09000031,6735.644873052314,33.70437384898711,362
2021-10-11,E09000032,6751.575378752182,36.947725162488396,359
2021-10-11,E09000033,5751.703680580822,31.566936936936937,185
2021-10-12,E09000001,10878.925824813221,37.730555555555554,6
2021-10-12,E09000002,8253.726445281136,36.31238738738738,444
2021-10-12,E09000003,8038.720324967143,33.75383554083885,604
2021-10-12,E09000004,7235.060295717484,32.32749562171629,571
2021-10-12,E09000005,7261.212092655187,35.90951219512195,410
2021-10-12,E09000006,8645.603816745339,35.12691911385883,647
