day,LAD22CD,GLA,trip_count
2021-10-15,E09000020,2797.7838815716227,1883
2021-10-15,E09000021,3346.8821375518464,4330
2021-10-15,E09000022,3039.615323622044,4804
2021-10-15,E09000023,3240.8962160699652,6192
2021-10-15,E09000024,3129.911999182847,5566
2021-10-15,E09000025,3503.6376667550435,5380
2021-10-15,E09000026,3661.9859117162187,7535
2021-10-15,E09000027,3345.9077760984596,4594
2021-10-15,E09000028,3014.7997162462916,4022
2021-10-15,E09000029,3175.623409777876,7090
2021-10-15,E09000030,3060.24559371542,2919
2021-10-15,E09000031,3452.2968711442795,4782
2021-10-15,E09000032,3215.0553171948113,5902
2021-10-15,E09000033,2995.649416745439,2960
2021-10-16,E09000001,3961.181930104804,105
2021-10-16,E09000002,3923.5604540361446,5422
2021-10-16,E09000003,3810.2796561957366,8528
2021-10-16,E09000004,3670.2741057188427,7047
2021-10-16,E09000005,3624.049104842004,5222
2021-10-16,E09000006,3995.96690073913,9265
2021-10-16,E09000007,3289.4864507119137,2514
2021-10-16,E09000008,3880.590322630807,8326
2021-10-16,E09000009,3699.8689755801825,6239
2021-10-16,E09000010,3769.802646019305,6176
2021-10-16,E09000011,3745.0402395144565,5126
2021-10-16,E09000012,3248.719442227616,2117
2021-10-16,E09000013,3223.9468184898674,2115
2021-10-16,E09000014,3701.381067368004,2861
2021-10-16,E09000015,3986.626744973896,5604
2021-10-16,E09000016,3776.076896405919,8095
2021-10-16,E09000017,4284.01117585061,7248
2021-10-16,E09000018,3561.254807116414,5611
2021-10-16,E09000019,3132.5843570322404,2077
2021-10-16,E09000020,2895.0968744355014,1552
2021-10-16,E09000021,3698.7061803253396,3548
2021-10-16,E09000022,3355.610492054568,4254
2021-10-16,E09000023,3455.6348875657395,4555
2021-10-16,E09000024,3405.5995571883136,4499
2021-10-16,E09000025,3804.947891407895,4300
2021-10-16,E09000026,3985.800155399718,6376
2021-10-16,E09000027,3291.4202034553696,4117
2021-10-16,E09000028,3270.1816793530143,3413
2021-10-16,E09000029,3467.3147796336157,5821
2021-10-16,E09000030,3610.8249208930033,2426
2021-10-16,E09000031,3705.8800527164904,3802
2021-10-16,E09000032,3228.7366476511224,5074
2021-10-16,E09000033,3267.4717803651324,2444
2021-10-17,E09000001,4693.415590909911,72
2021-10-17,E09000002,4140.278398026828,4002
2021-10-17,E09000003,4145.011847740076,6956
2021-10-17,E09000004,3965.3321992042715,5240
2021-10-17,E09000005,3908.798275675667,3827
2021-10-17,E09000006,4154.097934502725,6629
2021-10-17,E09000007,3580.2010570031275,1975
2021-10-17,E09000008,4190.8614590811685,5633
2021-10-17,E09000009,3932.5159954889614,4787
2021-10-17,E09000010,3876.3812588795417,4650
2021-10-17,E09000011,3931.0515806932417,3931
2021-10-17,E09000012,3283.582935657581,1601
2021-10-17,E09000013,3426.560427099918,1633
2021-10-17,E09000014,3760.7744248826816,2276
2021-10-17,E09000015,4232.625026716144,4260
2021-10-17,E09000016,4003.482776573064,5746
2021-10-17,E09000017,4393.312561285972,5615
2021-10-17,E09000018,3640.2182856096742,4448
2021-10-17,E09000019,3315.2734878874485,1541
2021-10-17,E09000020,3383.731548315614,1141
2021-10-17,E09000021,3898.7115423829646,2443
2021-10-17,E09000022,3542.497497018063,2932
2021-10-17,E09000023,3620.531988009591,3544
2021-10-17,E09000024,3602.4256496409166,3190
2021-10-17,E09000025,3885.335867874505,3483
2021-10-17,E09000026,4255.017887076293,4793
2021-10-17,E09000027,3501.5454375884624,2966
2021-10-17,E09000028,3370.690266793116,2688
2021-10-17,E09000029,3757.270888501866,4088
2021-10-17,E09000030,3421.4590321291785,2012
2021-10-17,E09000031,3749.5240318628225,2757
2021-10-17,E09000032,3655.670661373195,3670
2021-10-17,E09000033,3522.9459760480795,1997
2021-10-18,E09000001,5144.617672260752,75
2021-10-18,E09000002,3814.7140340976102,6027
2021-10-18,E09000003,3743.9099223670114,8904
2021-10-18,E09000004,3554.3583748897886,8098
2021-10-18,E09000005,3567.2325609369054,5601
2021-10-18,E09000006,4310.664505643253,8416
2021-10-18,E09000007,2971.582208037902,2281
2021-10-18,E09000008,3857.2036878461554,8517
2021-10-18,E09000009,3630.777823072531,6380
2021-10-18,E09000010,3671.356753827772,6127
2021-10-18,E09000011,3582.1584314782726,5561
2021-10-18,E09000012,3015.1548017642194,2074
2021-10-18,E09000013,3089.3436169220417,1885
2021-10-18,E09000014,3573.8877101910243,2732
2021-10-18,E09000015,4137.697096327992,5399
2021-10-18,E09000016,3793.558881959745,9493
2021-10-18,E09000017,4024.0741347545413,7888
2021-10-18,E09000018,3480.315303269996,6278
2021-10-18,E09000019,2819.151140738663,1809
2021-10-18,E09000020,3049.7799818136828,1357
2021-10-18,E09000021,3743.3187269855744,3455
2021-10-18,E09000022,3185.6738576281446,3768
2021-10-18,E09000023,3407.9442715758255,4842
2021-10-18,E09000024,3159.3965005430045,4573
2021-10-18,E09000025,3605.767950491369,4731
2021-10-18,E09000026,3958.3475490126343,6305
2021-10-18,E09000027,3397.550487033646,3780
2021-10-18,E09000028,3081.684345548028,3459
2021-10-18,E09000029,3323.947627459918,6194
2021-10-18,E09000030,3050.5880179971136,2438
2021-10-18,E09000031,3579.4191195805524,4026
2021-10-18,E09000032,3336.4719640790026,4517
2021-10-18,E09000033,3034.7739403376,2269
2021-10-19,E09000001,5267.011650271812,90
2021-10-19,E09000002,3649.5091656629415,6166
2021-10-19,E09000003,3681.270459936832,9336
2021-10-19,E09000004,3624.6689555428625,8298
2021-10-19,E09000005,3555.4819270015246,5778
2021-10-19,E09000006,4230.504644770199,8918
2021-10-19,E09000007,2863.2935342364485,2354
2021-10-19,E09000008,3914.0337355843576,8955
2021-10-19,E09000009,3510.8170357544395,6864
2021-10-19,E09000010,3634.238653599916,6427
2021-10-19,E09000011,3579.3672352339263,6083
2021-10-19,E09000012,3107.1488179434123,2169
2021-10-19,E09000013,3164.329699975658,2090
2021-10-19,E09000014,3463.1025796211393,2963
2021-10-19,E09000015,4058.917308880238,5613
2021-10-19,E09000016,3832.637039051627,9687
2021-10-19,E09000017,3983.4833288327063,8095
2021-10-19,E09000018,3552.476017055874,6460
2021-10-19,E09000019,2927.197256496641,1943
2021-10-19,E09000020,3052.658755760306,1484
2021-10-19,E09000021,3672.775466840917,3665
2021-10-19,E09000022,3278.872409245628,3868
2021-10-19,E09000023,3430.183835838789,5008
2021-10-19,E09000024,3375.722940571333,4544
2021-10-19,E09000025,3678.636853735947,4604
2021-10-19,E09000026,3836.048652521018,6976
2021-10-19,E09000027,3549.4916861354454,3922
2021-10-19,E09000028,2958.1598489137596,3570
2021-10-19,E09000029,3226.8715421253887,6313
2021-10-19,E09000030,3076.075148572503,2718
2021-10-19,E09000031,3431.9774152112473,4567
2021-10-19,E09000032,3466.9141849590337,4753
2021-10-19,E09000033,2968.634279215499,2286
2021-10-2,E09000001,3847.429025567491,140
2021-10-2,E09000002,3912.0625490754137,4437
2021-10-2,E09000003,3973.719757437433,7572
2021-10-2,E09000004,3825.876352812927,6156
2021-10-2,E09000005,3708.2598790672773,4676
2021-10-2,E09000006,3952.517526861325,8760
2021-10-2,E09000007,3228.8915959584906,2049
2021-10-2,E09000008,4063.0394033327325,7756
2021-10-2,E09000009,3600.098579683565,5800
2021-10-2,E09000010,4054.884531493341,4958
2021-10-2,E09000011,3708.370808874436,4683
