day,LAD22CD,activity_count
2021-10-2,E09000030,1696
2021-10-2,E09000031,1735
2021-10-2,E09000032,2297
2021-10-2,E09000033,4548
2021-10-20,E09000001,1389
2021-10-20,E09000002,2215
2021-10-20,E09000003,3740
2021-10-20,E09000004,3779
2021-10-20,E09000005,2600
2021-10-20,E09000006,4004
2021-10-20,E09000007,2736
2021-10-20,E09000008,3436
2021-10-20,E09000009,2795
2021-10-20,E09000010,2505
2021-10-20,E09000011,2878
2021-10-20,E09000012,1233
2021-10-20,E09000013,1899
2021-10-20,E09000014,1497
2021-10-20,E09000015,1920
2021-10-20,E09000016,4359
2021-10-20,E09000017,4021
2021-10-20,E09000018,2555
2021-10-20,E09000019,1449
2021-10-20,E09000020,1635
2021-10-20,E09000021,1945
2021-10-20,E09000022,2038
2021-10-20,E09000023,1974
2021-10-20,E09000024,1946
2021-10-20,E09000025,2465
2021-10-20,E09000026,2637
2021-10-20,E09000027,1985
2021-10-20,E09000028,2362
2021-10-20,E09000029,2622
2021-10-20,E09000030,2011
2021-10-20,E09000031,1844
2021-10-20,E09000032,2520
2021-10-20,E09000033,4821
2021-10-21,E09000001,1535
2021-10-21,E09000002,2327
2021-10-21,E09000003,3900
2021-10-21,E09000004,3766
2021-10-21,E09000005,2618
2021-10-21,E09000006,4284
2021-10-21,E09000007,2890
2021-10-21,E09000008,3684
2021-10-21,E09000009,2764
2021-10-21,E09000010,2633
2021-10-21,E09000011,2945
2021-10-21,E09000012,1163
2021-10-21,E09000013,1645
2021-10-21,E09000014,1583
2021-10-21,E09000015,2171
2021-10-21,E09000016,4238
2021-10-21,E09000017,4273
2021-10-21,E09000018,2676
2021-10-21,E09000019,1494
2021-10-21,E09000020,1687
2021-10-21,E09000021,1968
2021-10-21,E09000022,2166
2021-10-21,E09000023,2051
2021-10-21,E09000024,1876
2021-10-21,E09000025,2873
2021-10-21,E09000026,2587
2021-10-21,E09000027,1913
2021-10-21,E09000028,2494
2021-10-21,E09000029,2564
2021-10-21,E09000030,2139
2021-10-21,E09000031,1877
2021-10-21,E09000032,2652
2021-10-21,E09000033,4971
2021-10-22,E09000001,1200
2021-10-22,E09000002,2247
2021-10-22,E09000003,3968
2021-10-22,E09000004,3583
2021-10-22,E09000005,2758
2021-10-22,E09000006,4348
2021-10-22,E09000007,2953
2021-10-22,E09000008,3941
2021-10-22,E09000009,3003
2021-10-22,E09000010,2773
2021-10-22,E09000011,3381
